symbol,interval_sc,open_timestamp_ms,open,high,low,close,volume
BTC-USDT,60,1761378900000,111515.46,111528.79,111499.13,111499.14,5.1889
BTC-USDT,60,1761378960000,111499.13,111499.13,111490.13,111490.13,1.87238
BTC-USDT,60,1761379020000,111490.14,111508.24,111490.13,111508.23,3.35076
BTC-USDT,60,1761379080000,111508.23,111520.0,111489.59,111489.6,2.12175
BTC-USDT,60,1761379140000,111489.59,111489.6,111489.59,111489.6,0.65683
BTC-USDT,60,1761379200000,111489.59,111500.74,111489.59,111491.58,3.53692
BTC-USDT,60,1761379260000,111491.58,111491.59,111488.44,111488.45,1.34045
BTC-USDT,60,1761379320000,111488.45,111519.99,111488.44,111514.2,2.53964
BTC-USDT,60,1761379380000,111514.2,111514.21,111514.2,111514.2,3.93491
BTC-USDT,60,1761379440000,111514.21,111520.0,111514.2,111514.68,2.65081
BTC-USDT,60,1761379500000,111514.68,111514.68,111514.67,111514.68,3.3844
BTC-USDT,60,1761379560000,111514.68,111514.68,111514.67,111514.68,0.71285
BTC-USDT,60,1761379620000,111514.67,111530.46,111514.67,111525.48,6.50795
BTC-USDT,60,1761379680000,111525.47,111555.0,111525.47,111555.0,4.69593
BTC-USDT,60,1761379740000,111555.0,111555.0,111546.43,111550.91,6.03522
BTC-USDT,60,1761379800000,111550.9,111550.91,111550.9,111550.9,0.87865
BTC-USDT,60,1761379860000,111550.9,111550.91,111530.57,111530.57,2.83986
BTC-USDT,60,1761379920000,111530.57,111568.12,111530.57,111568.12,5.17283
BTC-USDT,60,1761379980000,111568.11,111587.26,111568.11,111580.86,9.68572
BTC-USDT,60,1761380040000,111580.86,111580.86,111580.85,111580.86,0.4813
BTC-USDT,60,1761380100000,111580.86,111599.8,111580.85,111599.79,4.18548
BTC-USDT,60,1761380160000,111599.79,111599.8,111576.57,111576.57,5.74114
BTC-USDT,60,1761380220000,111576.58,111576.58,111576.57,111576.58,1.15983
BTC-USDT,60,1761380280000,111576.58,111576.58,111547.1,111547.11,3.60213
BTC-USDT,60,1761380340000,111547.1,111579.23,111547.1,111579.22,2.50985
BTC-USDT,60,1761380400000,111579.22,111600.05,111579.22,111585.31,16.42789
BTC-USDT,60,1761380460000,111585.31,111673.8,111585.3,111672.39,12.7675
BTC-USDT,60,1761380520000,111672.4,111675.49,111669.29,111669.29,4.71938
BTC-USDT,60,1761380580000,111669.29,111669.3,111663.27,111669.28,4.2352
BTC-USDT,60,1761380640000,111669.29,111692.67,111669.28,111692.67,20.35737
BTC-USDT,60,1761380700000,111692.67,111703.84,111674.81,111674.81,3.64718
BTC-USDT,60,1761380760000,111674.81,111674.82,111646.0,111646.0,3.00063
BTC-USDT,60,1761380820000,111646.01,111666.39,111612.5,111666.38,6.42691
BTC-USDT,60,1761380880000,111666.39,111666.39,111666.38,111666.38,1.44994
BTC-USDT,60,1761380940000,111666.38,111666.39,111650.34,111658.71,7.3545
BTC-USDT,60,1761381000000,111658.72,111658.72,111648.87,111648.87,1.31963
BTC-USDT,60,1761381060000,111648.88,111648.88,111609.19,111641.84,14.813
BTC-USDT,60,1761381120000,111641.83,111641.84,111641.83,111641.84,1.12093
BTC-USDT,60,1761381180000,111641.84,111641.84,111629.69,111629.7,2.11863
BTC-USDT,60,1761381240000,111629.7,111659.62,111629.69,111659.61,4.61579
BTC-USDT,60,1761381300000,111659.62,111659.62,111644.0,111644.01,1.82436
BTC-USDT,60,1761381360000,111644.01,111644.01,111633.39,111633.39,5.11427
BTC-USDT,60,1761381420000,111633.39,111633.4,111617.66,111629.63,2.95145
BTC-USDT,60,1761381480000,111629.62,111629.63,111602.0,111602.01,1.97761
BTC-USDT,60,1761381540000,111602.0,111602.01,111568.11,111568.12,6.53388
BTC-USDT,60,1761381600000,111568.12,111568.12,111539.53,111539.53,10.25992
BTC-USDT,60,1761381660000,111539.54,111576.62,111539.53,111576.62,19.52355
BTC-USDT,60,1761381720000,111576.62,111584.15,111572.92,111584.15,7.68551
BTC-USDT,60,1761381780000,111584.14,111584.15,111578.27,111578.28,2.10059
BTC-USDT,60,1761381840000,111578.28,111602.79,111578.27,111602.78,8.6758
BTC-USDT,60,1761381900000,111602.79,111650.66,111602.79,111650.66,5.48274
BTC-USDT,60,1761381960000,111651.3,111683.14,111636.05,111644.61,5.39691
BTC-USDT,60,1761382020000,111644.6,111644.61,111638.53,111638.54,2.02985
BTC-USDT,60,1761382080000,111638.54,111644.61,111631.21,111631.21,4.2352
BTC-USDT,60,1761382140000,111631.22,111639.69,111631.12,111632.88,3.26491
BTC-USDT,60,1761382200000,111632.87,111632.89,111632.87,111632.89,7.33207
BTC-USDT,60,1761382260000,111632.88,111684.72,111632.88,111684.72,11.55571
BTC-USDT,60,1761382320000,111684.72,111721.0,111684.71,111696.36,9.09804
BTC-USDT,60,1761382380000,111696.36,111805.1,111696.35,111756.45,14.80781
BTC-USDT,60,1761382440000,111756.45,111756.45,111738.04,111738.04,9.63951
BTC-USDT,60,1761382500000,111738.04,111750.18,111738.04,111741.24,7.02557
BTC-USDT,60,1761382560000,111741.23,111741.24,111729.1,111729.1,2.70566
BTC-USDT,60,1761382620000,111729.11,111745.92,111729.1,111729.1,7.45279
BTC-USDT,60,1761382680000,111729.11,111763.9,111729.1,111763.9,4.62494
BTC-USDT,60,1761382740000,111763.9,111791.24,111763.8,111763.8,11.67157
BTC-USDT,60,1761382800000,111763.81,111819.46,111763.81,111787.81,16.05674
BTC-USDT,60,1761382860000,111787.81,111787.81,111723.11,111723.12,17.30543
BTC-USDT,60,1761382920000,111723.11,111723.12,111716.76,111716.77,1.62427
BTC-USDT,60,1761382980000,111716.76,111716.77,111706.8,111706.81,8.90058
BTC-USDT,60,1761383040000,111706.81,111716.29,111693.39,111693.4,3.25338
BTC-USDT,60,1761383100000,111693.39,111755.79,111693.39,111755.79,17.42628
BTC-USDT,60,1761383160000,111755.79,111755.79,111712.09,111718.58,6.86946
BTC-USDT,60,1761383220000,111718.59,111718.59,111704.82,111715.45,3.01104
BTC-USDT,60,1761383280000,111715.46,111750.1,111715.45,111750.1,5.73202
BTC-USDT,60,1761383340000,111750.1,111826.4,111750.09,111826.3,16.37715
BTC-USDT,60,1761383400000,111826.3,111850.13,111742.24,111750.64,47.64304
BTC-USDT,60,1761383460000,111750.64,111783.86,111750.63,111770.61,5.81731
BTC-USDT,60,1761383520000,111770.62,111790.87,111770.61,111790.87,10.37973
BTC-USDT,60,1761383580000,111790.87,111790.87,111770.62,111770.63,5.08429
BTC-USDT,60,1761383640000,111770.63,111780.01,111763.23,111780.0,22.84867
BTC-USDT,60,1761383700000,111780.01,111780.01,111744.64,111765.44,17.27042
BTC-USDT,60,1761383760000,111765.45,111765.45,111675.8,111675.8,13.22336
BTC-USDT,60,1761383820000,111675.8,111690.01,111656.13,111690.0,2.85168
BTC-USDT,60,1761383880000,111690.0,111724.26,111690.0,111724.25,12.00351
BTC-USDT,60,1761383940000,111724.25,111749.97,111692.66,111692.66,15.30179
BTC-USDT,60,1761384000000,111692.66,111699.42,111692.51,111692.51,1.49381
BTC-USDT,60,1761384060000,111692.52,111692.52,111646.01,111670.05,7.49938
BTC-USDT,60,1761384120000,111670.05,111706.4,111670.05,111697.95,1.77018
BTC-USDT,60,1761384180000,111697.95,111697.95,111675.49,111681.08,1.45032
BTC-USDT,60,1761384240000,111681.09,111685.0,111680.35,111680.35,3.61708
